city,region,province_or_prefecture,commune,prefecture_arrondissement,arrondissement,bureau_etat_civil,source_url,extraction_method,confidence,notes
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,OULAD RAHOU,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,SIDI MAAROUF,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN CHOCK,AIN CHOCK,SIDI MASSOUD,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,AIN SEBAA,44 EM ARRONDISSEMENT: AIN SEBAA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,AIN SEBAA,48 EM ARRONDISSEMENT:DAR LAMANE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,AIN SEBAA,50 EM ARRONDISSEMENT:HAY EL JAMIL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,AIN SEBAA,ANNEXE MIMOSA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,AIN SEBAA,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,AIN SEBAA,JEUNESSE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,AIN SEBAA,SMARA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,ASSOUKHOUR ASSAWDA,41 EM ARRONDISSEMENT:PALESTINE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,ASSOUKHOUR ASSAWDA,42 EM ARRONDISSEMENT:AIN BORJA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,ASSOUKHOUR ASSAWDA,49 EM ARRONDISSEMENT:IBNOU TACHFINE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,ASSOUKHOUR ASSAWDA,ANNEXE ASSOUKHOUR ASSAOUDA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,ASSOUKHOUR ASSAWDA,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,ASSOUKHOUR ASSAWDA,CHOHADA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,HAY MOHAMMADI,43 EM ARRONDISSEMENT:DERB MY CHRIF,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,HAY MOHAMMADI,47 EM ARRONDISSEMENT:HAY MOHAMMADI,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,HAY MOHAMMADI,ANNEXE AL KHALIL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,HAY MOHAMMADI,ANNEXE TAKADDOUM,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AIN SEBAA HAY MOHAMMADI,HAY MOHAMMADI,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,AL FIDA,20 EME ARRON TARABLOUS,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,AL FIDA,21 EME ARRON:SIDI MAAROUF,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,AL FIDA,22 EME ARRON:EL FARAH,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,AL FIDA,23 EME ARRON:EL IDRISSIA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,AL FIDA,BUREAU AL AMAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,AL FIDA,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,AL FIDA,LAKRIAA 2,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,MERS SULTAN,16 EME ARRON LAGIRONDE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,MERS SULTAN,17 EME ARRON EL BALADIA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,MERS SULTAN,18EME ARRON BOUCHENTOUF,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,MERS SULTAN,19 EME ARROND :DERB EL KABIR,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,AL FIDA MERS SULTAN,MERS SULTAN,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,BEN M'SICK,56 EME ANNEXE: EL HASSANIA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,BEN M'SICK,57 EME ANNEXE:IFRIQUIA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,BEN M'SICK,58 EME ANNEXE:EL MANSOUR,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,BEN M'SICK,59 EME ANNEXE : EL MASSOUDIA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,BEN M'SICK,AL OTHMANIA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,BEN M'SICK,ANNEXE 58e ARRONDISSEMENT BIS ARTIZANA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,BEN M'SICK,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,SBATA,60 BIS  ANNEXE ADMINISTRATIVE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,SBATA,60 EME ANNEXE : KARIAT  EL JAMAA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,SBATA,61 EME ANNEXE : JAMILA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,SBATA,62 EME ANNEXE SALMIA 2,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,SBATA,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,BEN M'SICK,SBATA,SIDI AHMED BEN LAHCEN,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,ANFA,7 EM ARRONDISSEMENT EL HANK,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,ANFA,8EM ARRONDISSEMENT :ANFA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,ANFA,BADR,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,ANFA,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,ANFA,SAHEL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,EL MAARIF,11 EM ARRONDISSEMENT  OISIS,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,EL MAARIF,ANNOUAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,EL MAARIF,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,EL MAARIF,DERB GHALLEF,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,EL MAARIF,IDRISS  1,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,EL MAARIF,YAACOUB EL MANSOUR,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,SIDI BELYOUT,BEN JDIA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,SIDI BELYOUT,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,SIDI BELYOUT,LALA YACOUT,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,SIDI BELYOUT,MLY  YOUSSEF,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,SIDI BELYOUT,MOSSA BNOU NOUSSEIR,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,SIDI BELYOUT,SIDI BOUSMARA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,CASABLANCA ANFA,SIDI BELYOUT,SOUR JDID,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,AL AZHAR,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,AL LAYMOUNE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,ANNEXE ADMINISTRATIVE AL FIRDAOUSSE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,CITE DE L'AIR,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,ENNASSIME,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,HAY EL OULFA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,HAY ESSALAM,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,HAY HASSANI,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,LISSASFA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,RYAD EL OULFA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,HAY HASSANI,HAY HASSANI,SIDI ALKHADIR,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,MOULAY RACHID,AL BARAKA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,MOULAY RACHID,ANNEXE AD   HAY EL FALAH,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,MOULAY RACHID,ANNEXE AD   HAY ERRAJA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,MOULAY RACHID,ANNEXE AD  HAY ERRAHMA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,MOULAY RACHID,ANNEXE AD  HAY MY RACHID,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,MOULAY RACHID,ANNEXE AD  ZONE INDUSTRIELLE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,MOULAY RACHID,ANNEXE EL FADLE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,MOULAY RACHID,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,MOULAY RACHID,SADRI,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,SIDI OTHMANE,ANNEXE AD   LALA MARYAM,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,SIDI OTHMANE,ANNEXE AD  COMPLEXE ADMINISTRATIF,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,SIDI OTHMANE,ANNEXE AD  DIAR ESSALAM,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,SIDI OTHMANE,ANNEXE AD  LAHRAOUINE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,SIDI OTHMANE,ANNEXE ADM   SIDI OTHMANE,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,SIDI OTHMANE,CENTRAL,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,SIDI OTHMANE,HAY SALAMA ANNEXE ADM,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,MOULAY RACHID,SIDI OTHMANE,MABROUKA,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
Casablanca,Casablanca-Settat,CASABLANCA,CASABLANCA,SIDI BERNOUSSI,SIDI BERNOUSSI,45EME ARRON CHATII,https://www.watiqa.ma/index.php?page=citoyen.FormulaireCommande,Playwright dependent dropdown traversal of Watiqa inside-Morocco form,High,
